Index_Etudiant_Activite,Code_Etudiant,Code_Activites
5,6,5
6,10,6
7,11,7
8,10,8
9,10,9
10,12,10
11,3,11
12,3,12
13,3,13
14,3,14
15,3,15
16,77,16
17,77,17
18,77,18
23,79,23
26,80,26
27,80,27
28,80,28
37,65,36
38,65,37
40,66,39
41,66,40
42,76,41
43,69,42
44,70,43
46,61,45
47,61,46
48,62,47
49,62,48
50,62,49
51,62,50
52,62,51
53,63,52
54,64,53
55,64,54
84,71,83
171,52,170
189,95,188
190,95,189
191,95,190
202,75,201
203,75,202
205,87,204
206,87,205
212,8,211
298,79,297
330,96,329
331,96,330
332,96,331
356,103,355
357,103,356
358,103,357
373,5,372
374,5,373
375,5,374
379,2,378
380,2,379
381,2,380
382,1,381
384,98,383
385,91,384
395,118,394
