Index_Exp_Etudiant,Code_Etudiant,Code_Experience
6,3,6
7,3,7
10,7,10
11,7,11
12,10,12
13,11,13
14,11,14
15,11,15
16,12,16
17,12,17
18,12,18
19,12,19
20,12,20
21,12,21
22,12,22
23,12,23
24,12,24
25,3,25
26,3,26
27,3,27
28,3,28
29,3,29
30,3,30
31,76,31
32,76,32
33,77,33
34,77,34
39,79,39
40,79,40
41,79,41
42,79,42
50,80,50
51,80,51
52,80,52
53,80,53
54,80,54
55,80,55
58,4,58
59,4,59
60,4,60
61,4,61
62,13,62
63,13,63
64,13,64
65,13,65
76,85,76
77,85,77
79,65,79
80,65,80
81,65,81
82,65,82
83,65,83
86,66,86
87,66,87
88,66,88
89,66,89
90,66,90
91,67,91
92,67,92
93,67,93
94,67,94
95,76,95
96,69,96
97,69,97
98,69,98
99,69,99
100,69,100
101,69,101
102,70,102
103,70,103
104,70,104
109,61,109
110,61,110
111,61,111
112,61,112
113,61,113
114,62,114
115,62,115
116,62,116
117,62,117
118,62,118
119,62,119
120,62,120
121,63,121
122,63,122
123,63,123
124,64,124
125,64,125
126,64,126
127,64,127
128,82,128
193,71,193
194,71,194
195,71,195
196,71,196
197,71,197
330,52,330
331,52,331
332,52,332
361,95,361
362,95,362
363,95,363
364,95,364
374,75,374
375,75,375
376,75,376
377,75,377
378,75,378
379,75,379
380,75,380
381,87,381
382,87,382
383,87,383
384,8,384
385,8,385
547,108,547
548,108,548
549,108,549
554,96,554
555,96,555
592,99,592
593,99,593
594,99,594
595,103,595
596,103,596
597,103,597
624,5,624
625,5,625
635,2,635
636,2,636
637,2,637
638,2,638
639,2,639
640,2,640
641,2,641
642,1,642
643,1,643
644,1,644
660,98,660
661,98,661
662,98,662
663,91,663
664,81,664
665,81,665
666,81,666
667,81,667
670,93,670
671,93,671
694,58,694
695,58,695
696,58,696
697,58,697
699,118,699
