Index_Etudiant_Langues,Code_Etudiant,Code_Langues
5,6,5
6,6,6
9,9,9
10,9,10
11,10,11
12,10,12
13,11,13
14,11,14
15,12,15
16,12,16
19,3,19
20,3,20
21,3,21
22,3,22
23,3,23
24,3,24
25,76,25
26,76,26
27,76,27
28,77,28
29,77,29
30,77,30
34,79,34
35,79,35
36,80,36
37,80,37
38,4,38
39,4,39
40,13,40
41,13,41
46,85,46
47,85,47
48,65,48
49,65,49
50,66,50
51,66,51
52,67,52
53,67,53
54,69,54
55,69,55
56,70,56
57,70,57
60,61,60
61,61,61
62,61,62
63,62,63
64,62,64
65,64,65
66,82,66
67,82,67
82,71,82
83,71,83
98,52,98
99,52,99
133,95,133
134,95,134
159,75,159
160,75,160
181,8,181
182,8,182
272,101,272
273,101,273
354,90,354
355,90,355
356,90,356
369,108,369
379,96,379
380,96,380
381,96,381
414,99,414
415,99,415
416,99,416
417,103,417
418,103,418
451,5,451
452,5,452
459,2,459
460,2,460
461,1,461
462,1,462
476,98,476
477,98,477
478,91,478
479,81,479
480,81,480
481,81,481
484,93,484
485,93,485
513,58,513
514,58,514
515,58,515
519,107,519
520,107,520
521,107,521
522,133,522
