Code_connaissance,Code_Cat,Categorie_logiciel,Nom_logiciel
17,1,"BASE DE DONNEES",ACCESS
18,7,PROGRAMMATION,"Pascal, Visual Basic"
19,2,BUREAUTIQUE,"Word, Excel"
20,2,BUREAUTIQUE,office
26,2,BUREAUTIQUE,"Word, Excel"
27,1,"BASE DE DONNEES",Access
28,7,PROGRAMMATION,"Delphi, SQL"
29,8,STATISTIQUES,Spad
30,1,"BASE DE DONNEES","Acces, Oracle, Sipina (data mining), Business Objects"
31,2,BUREAUTIQUE,"MS Office"
32,7,PROGRAMMATION,"DELPHI, TURBO PASCAL, SQL"
33,8,STATISTIQUES,"SPHINX (logiciel de traitement d’enquêtes) WAD (analyse des données)"
34,2,BUREAUTIQUE,"MS Office"
35,1,"BASE DE DONNEES","Acces, Oracle, Sipina (data mining), Business Objects"
36,8,STATISTIQUES,"S.A.S., T.S.E., T.S.P., Sphinx (logiciel de traitement d’enquêtes)"
37,7,PROGRAMMATION,"Delphi, Vensim (simulation)"
39,7,PROGRAMMATION,"Turbo Pascal, C++, Linux, Delphi, Java"
40,2,BUREAUTIQUE,"Excel, Word"
41,1,"BASE DE DONNEES",Access
42,8,STATISTIQUES,"SAS, SPADN, TSE, TSP, Destin, Gams, Vensim, Sipina…"
43,9,"SYSTEMES D'EXPLOITATIONS","Windows et Unix"
49,1,"BASE DE DONNEES","Access, Paradox, Oracle"
50,2,BUREAUTIQUE,"Excel, Word, PowerPoint, Outlook, FrontPage"
51,8,STATISTIQUES,"Statistica, Question, Sphinx, Vensim"
52,7,PROGRAMMATION,"Delphi, Visual Basic, Javascript, Jscript, Java,  Html, DHtml, Feuille de style."
66,7,PROGRAMMATION,"C/C++, HTML, Visual Basic, Visual C++, Delphi, Powerbuilder, Jbuilder, Prolog (SWI), Java"
67,1,"BASE DE DONNEES","Oracle 8, SQL Server, Unify 2000, Access, Paradox"
68,2,BUREAUTIQUE,"Ms Office"
69,8,STATISTIQUES,"Maple, Vensim"
70,9,"SYSTEMES D'EXPLOITATIONS","Windows 95/98/NT, Unix, Linux"
71,3,"DATA MINING",Sipina
72,4,DATAWAREHOUSE,BO
