Code_Langues,Langues,Niveau_langues
5,anglais,"lu, parlé, écrit"
6,espagnol,"quelques notions"
9,anglais,"lu, écrit, parlé"
10,allemand,notions
11,Anglais,"lu,écrit,parlé"
12,Allemand,notions
13,Anglais,"Lu, écrit"
14,Espagnol,"Lu, écrit"
15,Anglais,parlé
16,Espagnol,parlé
19,"Arabe dialecte",excellent
20,"Arabe littéral",excellent
21,Français,excellent
22,Anglais,Bon
23,Croate,"un petit peu"
24,italien,"parlé moyen"
25,Anglais,"Parlé, Lu, Ecrit"
26,Espagnol,"Niveau Terminale"
27,Chinois,Courant
28,Anglais,"Parlé, Lu, Ecrit"
29,Cambodgien,"Langue maternelle"
30,Français,Courant
34,Anglais,SCOLAIRE
35,Arabe,"Lu, parlé et écrit"
36,Allemand,"Bonnes notions"
37,Anglais,Scolaire
38,Anglais,"Lu, écrit, parlé"
39,Espagnol,"lu, parlé"
40,Allemand,courant
41,Anglais,bon
46,Anglais,Bon
47,Français,Début
48,Anglais,"Bon niveau"
49,Allemand,Notions
50,Anglais,courant
51,Espagnol,notions
52,Anglais,"lu, écrit, parlé"
53,Allemand,"lu, parlé"
54,Anglais,"écrit, lu, parlé"
55,Espagnol,"niveau scolaire"
56,Anglais,"lu, écrit, parlé"
57,Allemand,"lu, écrit, parlé"
60,Anglais,"écrit, lu, parlé"
61,Espagnol,"écrit, lu, parlé"
62,Arabe,"2ème langue maternelle"
63,Anglais,"courant et économique"
64,Allemand,"courant et économique"
65,Anglais,courant
66,Anglais,courant
67,Allemand,Notions
82,Anglais,"lu, écrit, parlé"
83,Espagnol,"lu, écrit, parlé"
98,Anglais,"Lu, écrit, parlé"
99,Allemand,"Lu, écrit, parlé"
133,Anglais,"lu, parlé et écrit"
134,Allemand,"lu et parlé"
159,Anglais,"lu, écrit, parlé"
160,Espagnol,Scolaire
181,ANGLAIS,"LU, ECRIT, PARLE"
182,ALLEMAND,NOTIONS
272,Anglais,"Très bon niveau"
273,Grec,"Langue maternelle"
354,Français,Bon
355,Anglais,Bon
356,Allemand,"Assez- bon"
369,Anglais,
379,Anglais,"Bon niveau"
380,Espagnol,"Rapidemment perfectible"
381,Marocain,"Langue natale"
414,Roumain,"Langue maternelle"
415,Français,"Parfaitement bilingue"
416,Anglais,Scolaire
417,Anglais,Technique
418,Allemand,Scolaire
451,Anglais,"Niveau universitaire"
452,Allemand,"Niveau universitaire"
459,Anglais,Courant
460,Allemand,Notions
461,Anglais,"lu, écrit, parlé"
462,Allemand,notions
476,Anglais,Bon
477,Espagnol,Faible
478,anglais,"lu, écrit, parlé"
479,Anglais,Courant
480,Néerlandais,Conversations
481,Allemand,Notions
484,Anglais,Scolaire
485,Espagnol,Scolaire
513,Anglais,Courant
514,Espagnol,Conversationnel
515,Allemand,Notion
519,Espagnol,"lu, écrit, parlé (bilingue)"
520,Anglais,"niveau moyen"
521,Allemand,"notions scolaires"
522,Anglais,
